Data File,Running time,Algorithm,EV,ED,alpha,beta,truck_speed,drone_speed,drone_flight_limit,generation,Fitness,excuting time,solution,truck route,drone route,,,,,,AVG
new data TSPD.txt,0,random initial,674.3,14.4,0.01,0.99,50,43.2,4,0,3392.583326,0,"[0, 47, 42, 18, 12, 17, 5, 13, 32, 29, 20, 46, 24, 31, 3, 49, 6, 40, 16, 15, 25, 19, 1, 39, 11, 4, 41, 45, 22, 27, 43, 23, 2, 35, 48, 8, 14, 7, 28, 36, 30, 34, 44, 10, 9, 38, 21, 33, 37, 26, 0]","[0, 42, 18, 12, 17, 5, 13, 32, 29, 20, 46, 24, 31, 3, 49, 6, 40, 16, 15, 25, 19, 1, 39, 11, 4, 41, 45, 22, 27, 43, 23, 2, 35, 48, 8, 7, 28, 36, 30, 34, 44, 10, 9, 38, 21, 33, 37, 26, 0]","[47, 14]",,,,,,3318.082063
new data TSPD.txt,2,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,2,2230.226634,0.001522779,"[0, 47, 42, 18, 12, 17, 5, 13, 32, 29, 20, 25, 46, 2, 39, 21, 24, 31, 3, 49, 6, 40, 16, 15, 19, 1, 11, 4, 41, 45, 22, 27, 43, 23, 35, 48, 8, 14, 7, 28, 36, 30, 34, 44, 10, 9, 38, 33, 37, 26, 0]","[0, 47, 42, 18, 12, 17, 5, 13, 32, 29, 20, 25, 46, 2, 39, 21, 24, 31, 3, 49, 6, 40, 15, 19, 1, 11, 4, 41, 45, 22, 27, 43, 23, 35, 48, 8, 7, 28, 36, 30, 34, 44, 10, 9, 38, 33, 37, 26, 0]","[16, 14]",,,,,,2173.318242
new data TSPD.txt,3,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,3,1863.360717,0,"[0, 47, 42, 18, 12, 17, 11, 5, 13, 32, 29, 20, 25, 46, 2, 39, 21, 24, 31, 3, 49, 6, 40, 16, 15, 41, 45, 22, 27, 43, 23, 35, 48, 8, 14, 7, 28, 36, 19, 30, 34, 4, 1, 44, 10, 9, 38, 33, 37, 26, 0]","[0, 47, 42, 18, 17, 11, 5, 13, 32, 29, 20, 25, 46, 2, 39, 21, 24, 31, 3, 49, 6, 16, 15, 41, 45, 22, 27, 43, 23, 35, 48, 8, 7, 36, 19, 30, 34, 1, 44, 10, 9, 33, 37, 26, 0]","[12, 40, 14, 28, 4, 38]",,,,,,1743.755538
new data TSPD.txt,4,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,4,1496.744371,0,"[0, 47, 42, 18, 12, 17, 11, 5, 13, 32, 29, 20, 25, 46, 2, 39, 21, 24, 43, 31, 3, 6, 40, 16, 45, 22, 27, 23, 35, 48, 8, 14, 7, 28, 49, 36, 41, 19, 30, 34, 4, 1, 44, 15, 10, 9, 38, 33, 37, 26, 0]","[0, 47, 42, 18, 17, 11, 5, 13, 32, 29, 20, 25, 46, 2, 39, 21, 24, 43, 31, 3, 6, 40, 45, 22, 27, 23, 48, 8, 14, 28, 49, 36, 41, 19, 30, 34, 4, 44, 15, 9, 38, 33, 37, 26, 0]","[12, 16, 35, 7, 1, 10]",,,,,,1488.549251
new data TSPD.txt,5,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,5,1323.604571,0.001020193,"[0, 47, 42, 18, 12, 13, 17, 11, 32, 29, 20, 25, 46, 2, 39, 21, 24, 43, 3, 6, 40, 16, 45, 31, 27, 23, 35, 48, 8, 14, 7, 28, 49, 22, 36, 41, 19, 30, 34, 4, 1, 44, 15, 10, 5, 9, 38, 33, 37, 26, 0]","[0, 47, 42, 18, 12, 13, 17, 32, 29, 20, 25, 46, 2, 39, 21, 24, 43, 3, 6, 40, 16, 45, 27, 23, 48, 8, 7, 28, 49, 22, 36, 41, 19, 34, 1, 15, 10, 5, 9, 38, 33, 37, 26, 0]","[11, 31, 35, 14, 30, 4, 44]",,,,,,1303.863904
new data TSPD.txt,6,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,6,1128.324117,0.000361204,"[0, 47, 42, 18, 12, 13, 11, 48, 32, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 3, 6, 40, 16, 45, 31, 27, 23, 35, 8, 14, 7, 28, 49, 22, 36, 41, 19, 30, 34, 4, 1, 44, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[0, 42, 18, 12, 11, 48, 32, 20, 25, 46, 2, 39, 21, 24, 17, 43, 3, 6, 40, 16, 45, 31, 23, 35, 14, 7, 49, 22, 36, 41, 19, 30, 34, 4, 1, 15, 10, 26, 5, 9, 33, 37, 0]","[47, 13, 29, 27, 8, 28, 44, 38]",,,,,,1186.511364
new data TSPD.txt,7,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,7,1127.556507,0,"[0, 42, 18, 12, 13, 11, 48, 32, 47, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 3, 6, 40, 16, 45, 31, 27, 7, 23, 35, 8, 14, 49, 22, 36, 41, 19, 30, 34, 4, 28, 1, 44, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[0, 18, 13, 11, 48, 32, 47, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 3, 6, 40, 16, 45, 31, 27, 7, 35, 8, 14, 49, 22, 36, 41, 19, 34, 4, 1, 44, 10, 26, 5, 9, 38, 33, 37, 0]","[42, 12, 23, 30, 28, 15]",,,,,,1107.551899
new data TSPD.txt,8,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,8,1119.126558,0.000668764,"[0, 42, 18, 12, 13, 11, 48, 32, 47, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 3, 6, 40, 16, 45, 31, 27, 7, 23, 35, 8, 14, 49, 22, 36, 41, 19, 30, 34, 4, 28, 1, 44, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[0, 42, 18, 13, 11, 48, 32, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 6, 40, 16, 45, 31, 27, 7, 23, 8, 14, 49, 22, 36, 41, 19, 30, 34, 4, 28, 1, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[12, 47, 3, 35, 44]",,,,,,1078.417428
new data TSPD.txt,9,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,9,1119.126558,0,"[0, 42, 18, 12, 13, 11, 48, 32, 47, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 3, 6, 40, 16, 45, 31, 27, 7, 23, 35, 8, 14, 49, 22, 36, 41, 19, 30, 34, 4, 28, 1, 44, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[0, 42, 18, 13, 11, 48, 32, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 6, 40, 16, 45, 31, 27, 7, 23, 8, 14, 49, 22, 36, 41, 19, 30, 34, 4, 28, 1, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[12, 47, 3, 35, 44]",,,,,,1057.401854
new data TSPD.txt,10,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,10,1119.126558,0,"[0, 42, 18, 12, 13, 11, 48, 32, 47, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 3, 6, 40, 16, 45, 31, 27, 7, 23, 35, 8, 14, 49, 22, 36, 41, 19, 30, 34, 4, 28, 1, 44, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[0, 42, 18, 13, 11, 48, 32, 29, 20, 25, 46, 2, 39, 21, 24, 17, 43, 6, 40, 16, 45, 31, 27, 7, 23, 8, 14, 49, 22, 36, 41, 19, 30, 34, 4, 28, 1, 15, 10, 26, 5, 9, 38, 33, 37, 0]","[12, 47, 3, 35, 44]",,,,,,1041.229501
