Iteration,Algorithm,Fitness,Truck Distance,Drone Distance,Execution Time,Solution,Truck Route,Drone Route,,,,,AVG
0,Initial Random,3333.908116,494.224305,9.399925091,0,"[0, 31, 23, 7, 33, 40, 20, 39, 13, 41, 27, 36, 49, 18, 4, 6, 29, 3, 42, 28, 30, 32, 44, 1, 47, 34, 43, 10, 25, 5, 26, 46, 16, 2, 22, 17, 37, 15, 14, 9, 45, 48, 21, 8, 24, 19, 38, 11, 35, 12, 0]","[0, 31, 23, 7, 33, 40, 20, 39, 13, 27, 36, 49, 18, 4, 6, 29, 3, 42, 28, 30, 32, 44, 1, 47, 34, 43, 10, 25, 5, 26, 46, 16, 2, 22, 17, 37, 15, 9, 48, 21, 8, 24, 19, 11, 35, 12, 0]","[41, 14, 45, 38]",,,,,3314.436318
1,ALNS,2621.168837,388.5630003,7.559028117,0,"[0, 31, 23, 7, 33, 40, 20, 39, 41, 27, 13, 36, 18, 4, 9, 6, 16, 29, 3, 42, 28, 8, 30, 32, 44, 1, 47, 35, 43, 10, 25, 5, 34, 26, 46, 2, 22, 37, 49, 15, 14, 45, 48, 21, 24, 17, 19, 38, 11, 12, 0]","[0, 31, 7, 33, 40, 20, 39, 41, 27, 13, 36, 18, 4, 9, 6, 16, 29, 3, 42, 28, 8, 30, 32, 44, 1, 35, 43, 10, 25, 5, 34, 26, 46, 2, 22, 37, 49, 15, 14, 45, 21, 24, 17, 19, 11, 12, 0]","[23, 47, 48, 38]",,,,,2663.526702
2,ALNS,2424.860144,359.4885465,5.755974959,0,"[0, 31, 23, 7, 40, 19, 20, 39, 41, 27, 13, 36, 9, 6, 16, 29, 3, 42, 4, 28, 8, 30, 26, 10, 32, 15, 44, 1, 47, 35, 43, 25, 5, 34, 46, 2, 22, 18, 33, 37, 49, 14, 45, 48, 21, 24, 17, 38, 11, 12, 0]","[0, 23, 40, 20, 39, 41, 27, 13, 36, 9, 6, 16, 29, 3, 42, 4, 28, 8, 30, 26, 32, 15, 44, 1, 47, 35, 43, 25, 5, 34, 46, 2, 22, 18, 33, 49, 14, 45, 48, 21, 24, 17, 38, 11, 12, 0]","[31, 7, 19, 10, 37]",,,,,2312.223638
3,ALNS,2329.915819,345.4008297,6.097294196,0,"[0, 23, 7, 40, 19, 20, 39, 27, 13, 36, 41, 9, 6, 16, 29, 3, 42, 4, 28, 8, 30, 26, 10, 32, 15, 44, 1, 47, 35, 43, 25, 5, 34, 46, 2, 22, 18, 33, 37, 49, 14, 45, 48, 21, 24, 17, 11, 38, 12, 31, 0]","[0, 23, 7, 40, 19, 20, 39, 27, 13, 36, 41, 9, 6, 29, 3, 42, 4, 8, 30, 26, 10, 32, 15, 44, 47, 35, 43, 25, 5, 34, 46, 2, 22, 18, 33, 37, 49, 14, 45, 21, 24, 17, 11, 38, 12, 31, 0]","[16, 28, 1, 48]",,,,,2058.568814
4,ALNS,1997.120528,296.011429,7.746174752,0.001636267,"[0, 7, 40, 19, 20, 21, 39, 27, 13, 36, 41, 22, 6, 9, 34, 29, 3, 42, 4, 28, 8, 30, 26, 10, 15, 44, 1, 32, 47, 35, 23, 43, 25, 5, 46, 2, 18, 33, 37, 49, 14, 45, 48, 24, 17, 11, 38, 16, 12, 31, 0]","[0, 7, 40, 19, 20, 21, 39, 27, 13, 36, 41, 6, 34, 29, 3, 42, 4, 28, 8, 30, 26, 10, 15, 44, 1, 32, 47, 35, 43, 25, 5, 46, 2, 18, 33, 37, 49, 14, 45, 48, 24, 17, 11, 38, 12, 31, 0]","[22, 9, 23, 16]",,,,,1854.478886
5,ALNS,1743.935251,258.4219636,9.694005043,0.002062559,"[0, 7, 38, 40, 19, 21, 39, 13, 41, 22, 6, 9, 34, 29, 42, 4, 28, 8, 30, 26, 10, 15, 44, 1, 32, 47, 35, 23, 3, 43, 25, 48, 5, 20, 46, 2, 18, 33, 37, 27, 49, 14, 45, 36, 24, 17, 11, 16, 12, 31, 0]","[0, 7, 38, 40, 19, 21, 39, 13, 41, 22, 9, 34, 42, 4, 8, 30, 26, 15, 44, 1, 47, 35, 23, 3, 43, 25, 48, 20, 46, 2, 18, 33, 27, 14, 45, 36, 24, 17, 11, 16, 12, 31, 0]","[6, 29, 28, 10, 32, 5, 37, 49]",,,,,1670.378111
6,ALNS,1485.189579,220.1248933,6.162588941,0,"[0, 7, 38, 40, 6, 19, 21, 39, 13, 41, 22, 9, 34, 42, 4, 28, 8, 30, 26, 10, 15, 44, 1, 32, 47, 29, 35, 23, 3, 43, 46, 2, 25, 48, 5, 20, 18, 33, 37, 27, 49, 14, 45, 36, 24, 17, 11, 16, 12, 31, 0]","[0, 7, 38, 6, 19, 21, 39, 13, 41, 22, 9, 34, 42, 4, 28, 8, 30, 26, 10, 15, 1, 32, 29, 35, 23, 3, 46, 2, 25, 48, 5, 20, 18, 33, 37, 27, 49, 14, 45, 36, 24, 17, 11, 16, 31, 0]","[40, 44, 47, 43, 12]",,,,,1546.687019
7,ALNS,1459.219472,216.1637977,11.29841929,0.00501585,"[0, 7, 38, 40, 6, 19, 21, 39, 13, 17, 24, 36, 41, 22, 9, 34, 42, 4, 28, 8, 30, 26, 10, 15, 44, 1, 32, 47, 29, 35, 23, 3, 43, 46, 2, 25, 48, 5, 20, 18, 33, 37, 27, 49, 14, 45, 11, 16, 12, 31, 0]","[0, 7, 38, 6, 21, 39, 13, 17, 24, 36, 22, 9, 34, 42, 28, 8, 30, 26, 10, 44, 1, 32, 29, 23, 3, 46, 2, 25, 48, 20, 18, 33, 37, 27, 49, 14, 45, 11, 16, 31, 0]","[40, 19, 41, 4, 15, 47, 35, 43, 5, 12]",,,,,1474.919261
8,ALNS,1188.163205,176.1352442,3.355866158,0,"[0, 7, 38, 19, 13, 17, 24, 36, 41, 22, 6, 42, 4, 8, 30, 26, 10, 15, 44, 1, 28, 32, 47, 29, 35, 23, 34, 45, 3, 43, 21, 39, 46, 2, 25, 48, 5, 20, 18, 33, 37, 27, 49, 14, 40, 11, 9, 16, 12, 31, 0]","[0, 7, 38, 19, 13, 17, 24, 36, 41, 22, 42, 4, 30, 26, 10, 15, 44, 1, 28, 32, 47, 29, 23, 45, 3, 43, 21, 39, 46, 2, 25, 48, 5, 20, 18, 37, 27, 49, 14, 40, 11, 9, 16, 12, 31, 0]","[6, 8, 35, 34, 33]",,,,,1385.770829
9,ALNS,1154.285174,170.8833116,14.02080274,0.005023479,"[0, 7, 38, 19, 13, 17, 24, 36, 41, 22, 6, 18, 42, 4, 8, 14, 30, 23, 26, 10, 29, 47, 32, 15, 44, 1, 28, 35, 34, 45, 3, 43, 21, 39, 46, 2, 25, 48, 5, 20, 33, 37, 49, 27, 40, 11, 9, 16, 12, 31, 0]","[0, 38, 19, 17, 24, 36, 41, 22, 6, 18, 42, 4, 8, 14, 30, 23, 26, 29, 32, 15, 1, 28, 35, 34, 3, 43, 21, 39, 46, 2, 25, 48, 5, 20, 33, 49, 40, 11, 16, 31, 0]","[7, 13, 10, 47, 44, 45, 37, 27, 9, 12]",,,,,1322.352332
