Iteration,Algorithm,Fitness,Truck Distance,Drone Distance,Execution Time,Solution,Truck Route,Drone Route,,,,,AVG
10,ALNS,1052.84692,155.824091,14.7573994,0,"[0, 7, 38, 19, 13, 17, 24, 36, 41, 22, 6, 18, 49, 8, 14, 30, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 34, 45, 3, 43, 21, 39, 46, 2, 25, 20, 48, 5, 33, 37, 27, 40, 11, 9, 16, 12, 31, 0]","[0, 7, 38, 19, 17, 36, 41, 22, 6, 18, 49, 8, 30, 23, 26, 10, 47, 32, 44, 1, 28, 4, 34, 3, 21, 39, 46, 2, 25, 20, 48, 33, 37, 27, 40, 11, 9, 16, 31, 0]","[13, 24, 14, 42, 35, 29, 15, 45, 43, 5, 12]",,,,,1290.37588
11,ALNS,1043.7264,154.572785,10.0145917,0.003815174,"[0, 7, 38, 19, 13, 17, 24, 36, 41, 22, 6, 18, 49, 8, 14, 30, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 34, 45, 12, 3, 43, 21, 39, 46, 2, 25, 20, 48, 5, 33, 37, 27, 40, 11, 9, 16, 31, 0]","[0, 38, 19, 13, 17, 36, 41, 22, 6, 18, 49, 14, 30, 42, 23, 35, 10, 47, 32, 15, 44, 1, 28, 4, 34, 12, 3, 21, 39, 46, 2, 25, 20, 48, 33, 37, 27, 40, 11, 9, 31, 0]","[7, 24, 8, 26, 29, 45, 43, 5, 16]",,,,,1259.363465
12,ALNS,1004.911069,148.9030205,5.958301253,0,"[0, 38, 19, 13, 17, 24, 36, 41, 22, 6, 9, 18, 49, 7, 30, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 8, 14, 4, 34, 45, 12, 16, 3, 43, 21, 39, 2, 46, 25, 20, 48, 5, 33, 27, 40, 11, 37, 31, 0]","[0, 38, 13, 17, 24, 36, 41, 22, 6, 9, 18, 49, 7, 30, 42, 23, 35, 26, 29, 47, 15, 44, 1, 28, 14, 4, 34, 45, 12, 16, 3, 21, 39, 2, 46, 25, 20, 48, 5, 33, 27, 40, 11, 37, 31, 0]","[19, 10, 32, 8, 43]",,,,,1229.646108
13,ALNS,978.2817003,144.9457739,6.335686623,0.004333019,"[0, 38, 19, 13, 17, 24, 36, 41, 22, 6, 9, 18, 30, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 8, 14, 4, 49, 7, 45, 12, 16, 3, 43, 21, 39, 2, 46, 25, 20, 48, 5, 33, 27, 40, 11, 37, 31, 0]","[0, 38, 19, 13, 17, 24, 36, 41, 22, 6, 9, 18, 30, 34, 23, 26, 10, 29, 32, 15, 44, 1, 8, 4, 49, 45, 16, 43, 21, 39, 2, 46, 25, 20, 48, 5, 33, 27, 40, 11, 37, 31, 0]","[42, 35, 47, 28, 14, 7, 12, 3]",,,,,1205.712598
14,ALNS,959.0514313,141.9561616,12.7849153,0.002775192,"[0, 38, 3, 19, 13, 17, 24, 36, 41, 22, 6, 9, 18, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 45, 12, 16, 43, 21, 39, 2, 46, 25, 20, 48, 30, 5, 33, 27, 40, 11, 37, 31, 0]","[0, 38, 19, 17, 24, 41, 6, 9, 34, 42, 23, 35, 26, 10, 29, 32, 15, 1, 4, 8, 14, 49, 45, 12, 43, 21, 39, 2, 46, 25, 20, 48, 30, 33, 27, 40, 11, 37, 31, 0]","[3, 13, 36, 22, 18, 47, 44, 28, 7, 16, 5]",,,,,1172.330872
15,ALNS,933.6094411,138.2752112,8.470039469,0,"[0, 38, 3, 19, 13, 17, 24, 36, 41, 22, 6, 9, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 45, 12, 16, 43, 21, 39, 2, 46, 25, 20, 48, 30, 5, 33, 27, 40, 11, 18, 37, 31, 0]","[0, 38, 3, 19, 13, 17, 36, 41, 22, 9, 34, 42, 35, 10, 29, 47, 32, 15, 1, 28, 8, 49, 7, 45, 12, 16, 43, 21, 39, 2, 46, 25, 20, 48, 30, 5, 27, 40, 11, 18, 37, 31, 0]","[24, 6, 23, 26, 44, 4, 14, 33]",,,,,1145.552868
16,ALNS,889.1562682,131.6241365,11.21326268,0.002307415,"[0, 38, 3, 19, 13, 11, 17, 24, 36, 41, 22, 6, 9, 45, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 12, 16, 43, 21, 39, 2, 46, 25, 20, 48, 30, 5, 33, 40, 18, 37, 31, 0]","[0, 38, 3, 19, 13, 11, 17, 24, 41, 6, 9, 45, 34, 42, 23, 35, 26, 29, 47, 32, 15, 1, 28, 8, 14, 7, 12, 16, 43, 21, 39, 2, 46, 25, 20, 48, 30, 5, 40, 18, 37, 31, 0]","[36, 22, 10, 44, 4, 49, 27, 33]",,,,,1116.909688
17,ALNS,883.0881112,130.7140289,11.69032447,0,"[0, 3, 13, 11, 17, 24, 36, 41, 22, 6, 9, 16, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 12, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 33, 38, 40, 18, 37, 31, 0]","[0, 3, 13, 11, 17, 24, 36, 22, 6, 16, 5, 34, 42, 23, 26, 29, 47, 32, 15, 1, 4, 8, 49, 27, 12, 43, 21, 39, 2, 46, 25, 20, 48, 30, 33, 38, 40, 18, 37, 31, 0]","[41, 9, 45, 35, 10, 44, 28, 14, 7, 19]",,,,,1102.605208
18,ALNS,883.0881112,130.7140289,11.69032447,0,"[0, 3, 13, 11, 17, 24, 36, 41, 22, 6, 9, 16, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 12, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 33, 38, 40, 18, 37, 31, 0]","[0, 3, 13, 11, 17, 24, 36, 22, 6, 16, 5, 34, 42, 23, 26, 29, 47, 32, 15, 1, 4, 8, 49, 27, 12, 43, 21, 39, 2, 46, 25, 20, 48, 30, 33, 38, 40, 18, 37, 31, 0]","[41, 9, 45, 35, 10, 44, 28, 14, 7, 19]",,,,,1084.063538
19,ALNS,881.7298634,130.5856112,8.271393794,0.004769325,"[0, 31, 3, 13, 11, 17, 24, 36, 41, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 33, 38, 40, 18, 37, 0]","[0, 31, 3, 13, 11, 17, 24, 36, 41, 22, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 32, 15, 1, 28, 8, 14, 49, 27, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 33, 40, 18, 37, 0]","[6, 47, 44, 4, 7, 38]",,,,,1048.818145
20,ALNS,880.4745724,130.4872127,4.161745854,0.002729654,"[0, 31, 3, 13, 11, 17, 24, 36, 41, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 38, 40, 18, 33, 37, 0]","[0, 31, 3, 13, 11, 17, 24, 41, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 7, 27, 19, 21, 39, 2, 46, 25, 20, 48, 38, 40, 18, 33, 37, 0]","[36, 49, 43, 30]",,,,,1040.375901
21,ALNS,880.4745724,130.4872127,4.161745854,0,"[0, 31, 3, 13, 11, 17, 24, 36, 41, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 38, 40, 18, 33, 37, 0]","[0, 31, 3, 13, 11, 17, 24, 41, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 7, 27, 19, 21, 39, 2, 46, 25, 20, 48, 38, 40, 18, 33, 37, 0]","[36, 49, 43, 30]",,,,,1019.664318
22,ALNS,867.0736494,128.3559013,10.90139592,0.004426718,"[0, 31, 3, 13, 11, 17, 24, 36, 41, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 18, 38, 40, 33, 37, 0]","[0, 31, 3, 13, 11, 17, 24, 36, 22, 6, 9, 16, 12, 5, 42, 23, 26, 10, 29, 47, 32, 15, 1, 28, 4, 8, 14, 49, 7, 19, 21, 39, 2, 46, 25, 20, 48, 18, 38, 40, 33, 37, 0]","[41, 45, 34, 35, 44, 27, 43, 30]",,,,,1012.021319
23,ALNS,867.0736494,128.3559013,10.90139592,0,"[0, 31, 3, 13, 11, 17, 24, 36, 41, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 43, 21, 39, 2, 46, 25, 20, 48, 30, 18, 38, 40, 33, 37, 0]","[0, 31, 3, 13, 11, 17, 24, 36, 22, 6, 9, 16, 12, 5, 42, 23, 26, 10, 29, 47, 32, 15, 1, 28, 4, 8, 14, 49, 7, 19, 21, 39, 2, 46, 25, 20, 48, 18, 38, 40, 33, 37, 0]","[41, 45, 34, 35, 44, 27, 43, 30]",,,,,983.1184801
24,ALNS,863.5222787,127.8680155,9.085024201,0,"[0, 31, 3, 13, 11, 17, 24, 36, 41, 43, 22, 6, 9, 16, 12, 45, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 21, 39, 2, 46, 25, 20, 48, 30, 18, 38, 40, 33, 37, 0]","[0, 31, 3, 13, 11, 17, 24, 36, 43, 6, 16, 12, 45, 34, 42, 23, 26, 29, 47, 15, 1, 28, 8, 14, 49, 7, 27, 19, 21, 39, 2, 46, 25, 20, 48, 30, 18, 38, 40, 33, 37, 0]","[41, 22, 9, 5, 35, 10, 32, 44, 4]",,,,,975.7962881
25,ALNS,856.2631896,126.6914468,13.76914712,0,"[0, 31, 3, 40, 13, 11, 17, 24, 36, 41, 43, 22, 6, 9, 16, 12, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 21, 39, 2, 46, 25, 20, 48, 30, 45, 18, 38, 33, 37, 0]","[0, 31, 3, 40, 13, 17, 24, 41, 22, 9, 12, 5, 42, 23, 35, 26, 10, 29, 32, 15, 1, 28, 8, 49, 27, 19, 21, 39, 2, 46, 25, 20, 48, 30, 18, 38, 33, 37, 0]","[11, 36, 43, 6, 16, 34, 47, 44, 4, 14, 7, 45]",,,,,963.4759698
26,ALNS,852.4527784,126.2476512,8.089308341,0.001708746,"[0, 31, 3, 40, 13, 11, 17, 24, 36, 41, 43, 22, 6, 9, 16, 12, 5, 34, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 27, 19, 21, 39, 2, 46, 25, 20, 48, 30, 45, 18, 38, 33, 37, 0]","[0, 31, 3, 40, 13, 11, 17, 36, 41, 43, 22, 6, 9, 16, 12, 34, 23, 26, 10, 29, 47, 32, 15, 1, 28, 4, 8, 14, 7, 27, 19, 21, 39, 2, 46, 25, 20, 48, 45, 18, 38, 33, 37, 0]","[24, 5, 42, 35, 44, 49, 30]",,,,,959.1082623
27,ALNS,844.5988536,125.1027452,7.159969513,0.003564358,"[0, 31, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 12, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 21, 39, 2, 46, 25, 20, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 19, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 12, 5, 42, 23, 26, 29, 47, 15, 44, 28, 4, 14, 7, 21, 39, 2, 46, 25, 20, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[3, 16, 35, 10, 32, 1, 8, 49, 34]",,,,,958.2354024
28,ALNS,831.5426789,123.0814194,11.14348416,0,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 6, 16, 42, 23, 35, 26, 29, 47, 15, 1, 4, 8, 49, 7, 20, 21, 39, 2, 46, 25, 48, 45, 38, 33, 37, 27, 0]","[22, 9, 5, 10, 32, 44, 28, 14, 34, 30, 18]",,,,,952.8761664
29,ALNS,831.5426789,123.0814194,11.14348416,0.002375841,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 6, 16, 42, 23, 35, 26, 29, 47, 15, 1, 4, 8, 49, 7, 20, 21, 39, 2, 46, 25, 48, 45, 38, 33, 37, 27, 0]","[22, 9, 5, 10, 32, 44, 28, 14, 34, 30, 18]",,,,,950.3625773
30,ALNS,831.5426789,123.0814194,11.14348416,0,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 6, 16, 42, 23, 35, 26, 29, 47, 15, 1, 4, 8, 49, 7, 20, 21, 39, 2, 46, 25, 48, 45, 38, 33, 37, 27, 0]","[22, 9, 5, 10, 32, 44, 28, 14, 34, 30, 18]",,,,,947.1368619
31,ALNS,831.5426789,123.0814194,11.14348416,0.004005909,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 6, 16, 42, 23, 35, 26, 29, 47, 15, 1, 4, 8, 49, 7, 20, 21, 39, 2, 46, 25, 48, 45, 38, 33, 37, 27, 0]","[22, 9, 5, 10, 32, 44, 28, 14, 34, 30, 18]",,,,,938.9856813
32,ALNS,831.5426789,123.0814194,11.14348416,0.001869202,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 6, 16, 42, 23, 35, 26, 29, 47, 15, 1, 4, 8, 49, 7, 20, 21, 39, 2, 46, 25, 48, 45, 38, 33, 37, 27, 0]","[22, 9, 5, 10, 32, 44, 28, 14, 34, 30, 18]",,,,,935.173517
33,ALNS,824.8142287,122.0935762,10.6752691,0,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 3, 40, 17, 36, 43, 13, 22, 9, 16, 5, 42, 35, 26, 10, 29, 47, 32, 15, 1, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 38, 33, 37, 27, 0]","[19, 11, 24, 41, 6, 23, 44, 28, 18]",,,,,930.4527278
34,ALNS,824.8142287,122.0935762,10.6752691,0,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 3, 40, 17, 36, 43, 13, 22, 9, 16, 5, 42, 35, 26, 10, 29, 47, 32, 15, 1, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 38, 33, 37, 27, 0]","[19, 11, 24, 41, 6, 23, 44, 28, 18]",,,,,928.186924
35,ALNS,824.8142287,122.0935762,10.6752691,0.004287243,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 3, 40, 17, 36, 43, 13, 22, 9, 16, 5, 42, 35, 26, 10, 29, 47, 32, 15, 1, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 38, 33, 37, 27, 0]","[19, 11, 24, 41, 6, 23, 44, 28, 18]",,,,,925.8832825
36,ALNS,824.8142287,122.0935762,10.6752691,0,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 3, 40, 17, 36, 43, 13, 22, 9, 16, 5, 42, 35, 26, 10, 29, 47, 32, 15, 1, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 38, 33, 37, 27, 0]","[19, 11, 24, 41, 6, 23, 44, 28, 18]",,,,,922.1220905
37,ALNS,824.8142287,122.0935762,10.6752691,0,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 3, 40, 17, 36, 43, 13, 22, 9, 16, 5, 42, 35, 26, 10, 29, 47, 32, 15, 1, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 38, 33, 37, 27, 0]","[19, 11, 24, 41, 6, 23, 44, 28, 18]",,,,,921.3357301
38,ALNS,824.8142287,122.0935762,10.6752691,0,"[0, 31, 12, 19, 3, 40, 11, 17, 24, 36, 41, 43, 13, 22, 6, 9, 16, 5, 42, 23, 35, 26, 10, 29, 47, 32, 15, 44, 1, 28, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 18, 38, 33, 37, 27, 0]","[0, 31, 12, 3, 40, 17, 36, 43, 13, 22, 9, 16, 5, 42, 35, 26, 10, 29, 47, 32, 15, 1, 4, 8, 14, 49, 7, 34, 20, 21, 39, 2, 46, 25, 48, 30, 45, 38, 33, 37, 27, 0]","[19, 11, 24, 41, 6, 23, 44, 28, 18]",,,,,905.8750572
