Data File,Running time,Algorithm,EV,ED,alpha,beta,truck_speed,drone_speed,drone_flight_limit,generation,Fitness,excuting time,solution,truck route,drone route,,,,,,AVG
new data TSPD.txt,0,random initial,674.3,14.4,0.01,0.99,50,43.2,4,0,103596.124,0.001543522,"[0, 27, 16, 11, 85, 96, 66, 15, 49, 9, 67, 60, 100, 10, 53, 73, 59, 35, 1, 23, 3, 41, 52, 78, 20, 51, 43, 46, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 70, 50, 39, 7, 12, 82, 55, 54, 21, 30, 2, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 62, 90, 76, 83, 64, 79, 88, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 75, 80, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 94, 0]","[0, 27, 16, 11, 85, 96, 66, 15, 49, 9, 67, 60, 100, 10, 53, 73, 59, 35, 1, 23, 3, 41, 52, 78, 20, 51, 43, 46, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 70, 50, 39, 7, 12, 82, 55, 54, 21, 30, 2, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 62, 90, 76, 83, 64, 79, 88, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 75, 80, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 94, 0]",[],,,,,,110726.4544
new data TSPD.txt,2,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,2,90639.32832,0,"[0, 27, 16, 11, 85, 96, 66, 15, 49, 9, 67, 60, 100, 10, 53, 73, 59, 35, 1, 23, 3, 41, 52, 78, 20, 51, 94, 43, 46, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 30, 70, 50, 39, 7, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 62, 90, 76, 83, 64, 79, 88, 55, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 75, 80, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 0]","[0, 27, 16, 11, 85, 96, 66, 15, 49, 9, 67, 60, 100, 10, 53, 73, 59, 35, 1, 23, 3, 41, 52, 78, 20, 51, 94, 43, 46, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 30, 70, 50, 39, 7, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 62, 90, 76, 83, 64, 79, 88, 55, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 75, 80, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 0]",[],,,,,,97029.80118
new data TSPD.txt,3,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,3,80893.43836,0,"[0, 27, 16, 11, 85, 66, 15, 49, 9, 67, 60, 43, 100, 10, 53, 73, 59, 35, 1, 23, 3, 41, 52, 78, 20, 51, 94, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 30, 7, 70, 50, 39, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 46, 62, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 75, 80, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 0]","[0, 27, 16, 11, 85, 66, 15, 49, 9, 67, 60, 43, 100, 10, 53, 73, 59, 35, 1, 23, 3, 41, 52, 78, 20, 51, 94, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 30, 7, 70, 50, 39, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 46, 62, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 75, 80, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 0]",[],,,,,,85372.67509
new data TSPD.txt,4,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,4,72924.17432,0,"[0, 59, 27, 16, 11, 85, 66, 49, 9, 67, 60, 43, 100, 10, 53, 1, 23, 3, 41, 52, 78, 20, 51, 94, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 30, 7, 35, 70, 50, 39, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 46, 62, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 15, 75, 80, 73, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 0]","[0, 59, 27, 16, 11, 85, 66, 49, 9, 67, 60, 43, 100, 10, 53, 1, 23, 3, 41, 52, 78, 20, 51, 94, 87, 57, 17, 28, 13, 22, 98, 48, 4, 86, 92, 30, 7, 35, 70, 50, 39, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 77, 72, 25, 46, 62, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 32, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 15, 75, 80, 73, 81, 93, 14, 26, 91, 58, 31, 34, 36, 18, 29, 0]",[],,,,,,76362.77089
new data TSPD.txt,5,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,5,64840.20585,0,"[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 100, 10, 53, 1, 23, 3, 52, 78, 20, 51, 94, 87, 57, 17, 67, 28, 13, 22, 98, 48, 4, 86, 92, 30, 7, 35, 70, 50, 39, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 41, 77, 72, 25, 46, 62, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 15, 80, 73, 81, 93, 14, 32, 26, 91, 58, 31, 34, 36, 18, 29, 0]","[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 100, 10, 53, 1, 23, 3, 52, 78, 20, 51, 94, 87, 57, 17, 67, 28, 13, 22, 98, 48, 4, 86, 92, 30, 7, 35, 70, 50, 39, 12, 82, 54, 2, 21, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 41, 77, 72, 25, 46, 62, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 6, 38, 44, 47, 61, 74, 95, 97, 69, 71, 15, 80, 73, 81, 93, 14, 32, 26, 91, 58, 31, 34, 36, 18, 29, 0]",[],,,,,,68385.19648
new data TSPD.txt,6,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,6,58543.1582,0,"[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 10, 53, 1, 23, 3, 52, 78, 20, 51, 94, 87, 57, 17, 67, 28, 13, 22, 98, 48, 4, 47, 86, 92, 30, 7, 35, 70, 50, 39, 12, 82, 54, 2, 21, 95, 100, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 71, 15, 80, 73, 81, 93, 14, 32, 26, 91, 58, 31, 34, 36, 18, 29, 0]","[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 10, 53, 1, 23, 3, 52, 78, 20, 51, 94, 87, 57, 17, 67, 28, 13, 22, 98, 48, 4, 47, 86, 92, 30, 7, 35, 70, 50, 39, 12, 82, 54, 2, 21, 95, 100, 84, 99, 40, 24, 63, 8, 33, 65, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 71, 15, 80, 73, 81, 93, 14, 32, 26, 91, 58, 31, 34, 36, 18, 29, 0]",[],,,,,,61892.55196
new data TSPD.txt,7,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,7,53806.86101,0,"[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 10, 53, 82, 1, 23, 3, 78, 20, 51, 94, 87, 57, 17, 67, 13, 22, 98, 48, 4, 47, 86, 36, 92, 30, 7, 35, 70, 50, 39, 12, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 65, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 71, 15, 80, 73, 81, 93, 14, 32, 26, 91, 58, 31, 34, 18, 52, 29, 0]","[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 10, 53, 82, 1, 23, 3, 78, 20, 51, 94, 87, 57, 17, 67, 13, 22, 98, 48, 4, 47, 86, 36, 92, 30, 7, 35, 70, 50, 39, 12, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 65, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 71, 15, 80, 73, 81, 93, 14, 32, 26, 91, 58, 31, 34, 18, 52, 29, 0]",[],,,,,,56399.28084
new data TSPD.txt,8,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,8,49091.98806,0,"[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 53, 82, 1, 23, 3, 78, 20, 51, 94, 87, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 39, 12, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 65, 10, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 71, 15, 80, 73, 81, 93, 18, 14, 32, 91, 58, 34, 52, 29, 0]","[0, 59, 27, 16, 11, 75, 85, 66, 49, 9, 60, 43, 53, 82, 1, 23, 3, 78, 20, 51, 94, 87, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 39, 12, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 65, 10, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 71, 15, 80, 73, 81, 93, 18, 14, 32, 91, 58, 34, 52, 29, 0]",[],,,,,,51707.30125
new data TSPD.txt,9,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,9,45775.85503,0,"[0, 59, 27, 16, 75, 66, 49, 11, 9, 60, 43, 53, 82, 1, 23, 3, 78, 20, 85, 51, 94, 87, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 39, 12, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 10, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 71, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 15, 80, 73, 65, 81, 93, 18, 14, 32, 91, 58, 34, 52, 29, 0]","[0, 59, 27, 16, 75, 66, 49, 11, 9, 60, 43, 53, 82, 1, 23, 3, 78, 20, 85, 51, 94, 87, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 39, 12, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 10, 5, 56, 41, 77, 72, 25, 46, 90, 76, 83, 64, 71, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 97, 69, 15, 80, 73, 65, 81, 93, 18, 14, 32, 91, 58, 34, 52, 29, 0]",[],,,,,,47617.97945
new data TSPD.txt,10,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,10,43468.41286,0.009335279,"[0, 59, 27, 16, 75, 66, 49, 11, 9, 60, 43, 53, 82, 1, 23, 3, 78, 20, 85, 51, 94, 87, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 10, 5, 56, 39, 41, 77, 25, 46, 90, 76, 83, 72, 64, 71, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 69, 15, 80, 73, 65, 97, 81, 93, 18, 14, 32, 91, 58, 12, 34, 52, 29, 0]","[0, 59, 27, 16, 75, 66, 49, 11, 9, 60, 43, 53, 82, 1, 23, 3, 78, 20, 85, 51, 94, 87, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 10, 5, 56, 39, 41, 77, 25, 46, 90, 76, 83, 72, 64, 71, 79, 88, 55, 96, 19, 68, 37, 45, 42, 89, 62, 6, 38, 44, 61, 74, 69, 15, 80, 73, 65, 97, 81, 93, 18, 14, 32, 91, 58, 12, 34, 52, 29, 0]",[],,,,,,44085.7389
new data TSPD.txt,11,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,11,41687.77676,0.001035929,"[0, 59, 27, 16, 75, 66, 49, 11, 9, 60, 43, 53, 82, 1, 87, 23, 3, 78, 20, 85, 51, 94, 69, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 10, 5, 56, 39, 41, 25, 46, 90, 76, 83, 72, 64, 71, 79, 88, 55, 96, 19, 44, 68, 37, 45, 42, 89, 62, 6, 77, 38, 61, 74, 15, 80, 73, 65, 97, 81, 93, 18, 14, 32, 91, 58, 12, 34, 52, 29, 0]","[0, 59, 27, 16, 75, 66, 49, 11, 9, 60, 43, 53, 82, 1, 87, 23, 3, 78, 20, 85, 51, 94, 69, 57, 17, 67, 13, 22, 98, 31, 48, 4, 47, 86, 36, 92, 30, 7, 35, 26, 70, 50, 54, 2, 21, 95, 100, 84, 99, 40, 28, 24, 63, 8, 33, 10, 5, 56, 39, 41, 25, 46, 90, 76, 83, 72, 64, 71, 79, 88, 55, 96, 19, 44, 68, 37, 45, 42, 89, 62, 6, 77, 38, 61, 74, 15, 80, 73, 65, 97, 81, 93, 18, 14, 32, 91, 58, 12, 34, 52, 29, 0]",[],,,,,,41320.96834
