Data File,Running time,Algorithm,EV,ED,alpha,beta,truck_speed,drone_speed,drone_flight_limit,generation,Fitness,excuting time,solution,truck route,drone route,,,,,,AVG
new data TSPD.txt,1,random initial,674.3,14.4,0.01,0.99,50,43.2,4,0,109170.9096,0.00101614,"[0, 34, 51, 2, 47, 64, 57, 70, 32, 1, 59, 91, 96, 55, 21, 84, 14, 98, 3, 71, 85, 42, 87, 18, 43, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 20, 17, 72, 78, 89, 67, 46, 4, 53, 23, 6, 60, 38, 75, 79, 25, 97, 19, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 88, 40, 86, 92, 30, 62, 12, 5, 24, 15, 37, 80, 33, 7, 54, 22, 90, 48, 39, 0]","[0, 34, 51, 2, 47, 64, 57, 70, 32, 1, 59, 91, 96, 55, 21, 84, 14, 98, 3, 71, 85, 42, 87, 18, 43, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 20, 17, 72, 78, 89, 67, 46, 4, 53, 23, 6, 60, 38, 75, 79, 25, 97, 19, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 88, 40, 86, 92, 30, 62, 12, 5, 24, 15, 37, 80, 33, 7, 54, 22, 90, 48, 39, 0]",[],,,,,,111760.3971
new data TSPD.txt,2,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,2,104798.0378,0.001017094,"[0, 34, 51, 2, 47, 64, 24, 57, 70, 32, 1, 59, 91, 96, 55, 21, 84, 14, 18, 98, 3, 85, 42, 87, 43, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 20, 17, 72, 78, 89, 67, 46, 4, 53, 23, 6, 60, 38, 75, 79, 25, 97, 19, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 71, 88, 40, 86, 92, 30, 62, 12, 5, 15, 37, 80, 33, 7, 54, 22, 90, 48, 39, 0]","[0, 34, 51, 2, 47, 64, 24, 57, 70, 32, 1, 59, 91, 96, 55, 21, 84, 14, 18, 98, 3, 85, 42, 87, 43, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 20, 17, 72, 78, 89, 67, 46, 4, 53, 23, 6, 60, 38, 75, 79, 25, 97, 19, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 71, 88, 40, 86, 92, 30, 62, 12, 5, 15, 37, 80, 33, 7, 54, 22, 90, 48, 39, 0]",[],,,,,,107529.5995
new data TSPD.txt,3,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,3,97889.52287,0.001008034,"[0, 53, 34, 51, 2, 47, 64, 24, 57, 70, 32, 1, 59, 91, 19, 96, 55, 21, 84, 14, 18, 98, 3, 85, 42, 87, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 20, 17, 72, 78, 89, 67, 46, 4, 23, 6, 43, 60, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 71, 88, 40, 86, 92, 30, 62, 12, 5, 15, 37, 80, 7, 54, 22, 33, 90, 48, 39, 0]","[0, 53, 34, 51, 2, 47, 64, 24, 57, 70, 32, 1, 59, 91, 19, 96, 55, 21, 84, 14, 18, 98, 3, 85, 42, 87, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 20, 17, 72, 78, 89, 67, 46, 4, 23, 6, 43, 60, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 71, 88, 40, 86, 92, 30, 62, 12, 5, 15, 37, 80, 7, 54, 22, 33, 90, 48, 39, 0]",[],,,,,,104037.9871
new data TSPD.txt,4,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,4,95200.34873,0.001015902,"[0, 53, 34, 51, 2, 64, 24, 57, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 21, 84, 14, 18, 3, 85, 42, 87, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 17, 72, 78, 89, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 71, 88, 40, 86, 92, 30, 12, 5, 15, 37, 80, 7, 54, 22, 47, 33, 90, 48, 39, 0]","[0, 53, 34, 51, 2, 64, 24, 57, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 21, 84, 14, 18, 3, 85, 42, 87, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 17, 72, 78, 89, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 56, 49, 36, 58, 71, 88, 40, 86, 92, 30, 12, 5, 15, 37, 80, 7, 54, 22, 47, 33, 90, 48, 39, 0]",[],,,,,,100533.4969
new data TSPD.txt,5,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,5,93268.88371,0,"[0, 53, 34, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 17, 72, 78, 89, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 49, 36, 58, 71, 88, 40, 86, 92, 30, 5, 15, 37, 80, 7, 54, 22, 47, 33, 90, 48, 39, 0]","[0, 53, 34, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 50, 45, 82, 31, 26, 61, 41, 63, 83, 65, 73, 11, 76, 100, 28, 9, 8, 17, 72, 78, 89, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 99, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 49, 36, 58, 71, 88, 40, 86, 92, 30, 5, 15, 37, 80, 7, 54, 22, 47, 33, 90, 48, 39, 0]",[],,,,,,97422.25676
new data TSPD.txt,6,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,6,88166.17862,0.001709938,"[0, 89, 53, 34, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 50, 45, 82, 31, 26, 61, 41, 83, 65, 73, 11, 76, 100, 28, 9, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 15, 80, 7, 63, 54, 22, 47, 33, 90, 37, 48, 39, 0]","[0, 89, 53, 34, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 50, 45, 82, 31, 26, 61, 41, 83, 65, 73, 11, 76, 100, 28, 9, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 25, 97, 95, 94, 27, 77, 68, 44, 93, 69, 10, 29, 81, 35, 52, 16, 66, 13, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 15, 80, 7, 63, 54, 22, 47, 33, 90, 37, 48, 39, 0]",[],,,,,,94929.61574
new data TSPD.txt,7,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,7,84924.4967,0.001016617,"[0, 89, 53, 34, 25, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 50, 45, 82, 31, 26, 61, 41, 83, 65, 73, 11, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 97, 95, 94, 27, 77, 68, 44, 93, 13, 69, 10, 29, 81, 35, 52, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 15, 80, 7, 63, 54, 22, 47, 33, 90, 37, 9, 48, 39, 0]","[0, 89, 53, 34, 25, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 50, 45, 82, 31, 26, 61, 41, 83, 65, 73, 11, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 79, 97, 95, 94, 27, 77, 68, 44, 93, 13, 69, 10, 29, 81, 35, 52, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 15, 80, 7, 63, 54, 22, 47, 33, 90, 37, 9, 48, 39, 0]",[],,,,,,92211.75294
new data TSPD.txt,8,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,8,83621.98379,0,"[0, 89, 53, 34, 25, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 45, 82, 31, 26, 61, 41, 83, 65, 73, 11, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 15, 79, 97, 95, 94, 27, 77, 68, 44, 93, 13, 69, 10, 29, 81, 35, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 80, 7, 63, 54, 22, 47, 33, 90, 37, 9, 48, 39, 50, 52, 0]","[0, 89, 53, 34, 25, 51, 2, 64, 24, 70, 32, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 45, 82, 31, 26, 61, 41, 83, 65, 73, 11, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 15, 79, 97, 95, 94, 27, 77, 68, 44, 93, 13, 69, 10, 29, 81, 35, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 80, 7, 63, 54, 22, 47, 33, 90, 37, 9, 48, 39, 50, 52, 0]",[],,,,,,89726.92677
new data TSPD.txt,9,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,9,78928.73388,0,"[0, 89, 53, 34, 25, 51, 94, 2, 64, 24, 70, 32, 45, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 82, 31, 26, 61, 41, 83, 65, 73, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 15, 79, 97, 95, 27, 77, 68, 44, 93, 13, 69, 10, 29, 81, 35, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 80, 7, 63, 54, 22, 47, 33, 90, 37, 9, 48, 39, 50, 11, 52, 0]","[0, 89, 53, 34, 25, 51, 94, 2, 64, 24, 70, 32, 45, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 82, 31, 26, 61, 41, 83, 65, 73, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 62, 38, 75, 15, 79, 97, 95, 27, 77, 68, 44, 93, 13, 69, 10, 29, 81, 35, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 80, 7, 63, 54, 22, 47, 33, 90, 37, 9, 48, 39, 50, 11, 52, 0]",[],,,,,,87033.13334
new data TSPD.txt,10,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,10,78202.5262,0,"[0, 89, 53, 34, 25, 51, 94, 2, 64, 24, 70, 32, 45, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 82, 31, 26, 61, 41, 83, 65, 73, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 38, 75, 15, 79, 97, 95, 62, 27, 77, 68, 44, 93, 13, 69, 10, 29, 22, 81, 35, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 80, 7, 63, 54, 47, 33, 90, 37, 9, 48, 39, 50, 11, 52, 0]","[0, 89, 53, 34, 25, 51, 94, 2, 64, 24, 70, 32, 45, 98, 1, 59, 20, 91, 19, 96, 55, 56, 12, 21, 84, 14, 18, 3, 85, 42, 87, 57, 74, 82, 31, 26, 61, 41, 83, 65, 73, 76, 100, 28, 8, 17, 72, 78, 67, 46, 4, 23, 6, 43, 60, 38, 75, 15, 79, 97, 95, 62, 27, 77, 68, 44, 93, 13, 69, 10, 29, 22, 81, 35, 16, 66, 49, 36, 58, 71, 88, 40, 86, 99, 92, 30, 5, 80, 7, 63, 54, 47, 33, 90, 37, 9, 48, 39, 50, 11, 52, 0]",[],,,,,,84790.66612
