Data File,Running time,Algorithm,EV,ED,alpha,beta,truck_speed,drone_speed,drone_flight_limit,generation,Fitness,excuting time,solution,truck route,drone route,,,,,,AVG
new data TSPD.txt,1,random initial,674.3,14.4,0.01,0.99,50,43.2,4,0,2753.655342,0,"[0, 45, 3, 20, 14, 26, 22, 43, 27, 9, 23, 25, 21, 31, 32, 8, 1, 6, 28, 19, 7, 48, 40, 30, 47, 4, 49, 46, 42, 2, 39, 37, 12, 35, 36, 17, 24, 44, 41, 11, 15, 29, 10, 33, 38, 13, 18, 34, 16, 5, 0]","[0, 45, 3, 20, 14, 26, 22, 43, 27, 9, 23, 25, 21, 31, 32, 8, 1, 6, 28, 19, 7, 40, 30, 47, 49, 46, 42, 2, 39, 37, 12, 35, 36, 17, 24, 44, 41, 15, 29, 33, 38, 13, 18, 34, 16, 5, 0]","[48, 4, 11, 10]",,,,,,3292.898983
new data TSPD.txt,2,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,2,2576.853532,0,"[0, 45, 3, 20, 26, 22, 43, 27, 9, 23, 25, 39, 21, 32, 8, 1, 31, 6, 28, 19, 7, 48, 12, 40, 30, 47, 4, 14, 49, 46, 42, 2, 37, 35, 36, 17, 24, 44, 41, 11, 15, 29, 10, 33, 38, 13, 18, 34, 16, 5, 0]","[0, 45, 20, 26, 22, 27, 9, 23, 25, 39, 21, 32, 8, 31, 6, 28, 19, 7, 12, 40, 30, 47, 4, 14, 46, 42, 2, 37, 35, 36, 24, 44, 41, 11, 15, 29, 10, 33, 38, 13, 34, 16, 5, 0]","[3, 43, 1, 48, 49, 17, 18]",,,,,,3070.2738
new data TSPD.txt,3,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,3,2326.838484,0.002040386,"[0, 45, 3, 20, 26, 22, 43, 27, 33, 9, 23, 25, 39, 21, 32, 8, 1, 31, 6, 28, 7, 48, 12, 40, 30, 47, 4, 14, 49, 44, 15, 46, 42, 2, 37, 35, 19, 36, 17, 24, 41, 11, 29, 10, 38, 13, 18, 34, 16, 5, 0]","[0, 3, 20, 26, 22, 43, 27, 33, 23, 25, 39, 21, 32, 1, 31, 6, 28, 7, 12, 40, 30, 47, 4, 14, 44, 46, 42, 2, 37, 35, 19, 36, 17, 24, 41, 11, 29, 38, 13, 18, 34, 16, 5, 0]","[45, 9, 8, 48, 49, 15, 10]",,,,,,2832.89933
new data TSPD.txt,4,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,4,2281.190355,0,"[0, 45, 3, 20, 22, 43, 27, 33, 9, 23, 25, 39, 21, 32, 44, 1, 31, 6, 8, 28, 7, 48, 12, 40, 30, 26, 10, 47, 4, 14, 49, 15, 46, 42, 2, 37, 35, 19, 36, 17, 24, 41, 11, 29, 38, 13, 18, 34, 16, 5, 0]","[0, 3, 20, 22, 43, 27, 33, 9, 23, 25, 39, 21, 32, 44, 1, 31, 6, 8, 28, 7, 48, 12, 40, 30, 26, 10, 47, 4, 14, 15, 46, 42, 2, 37, 35, 19, 36, 24, 41, 11, 29, 38, 13, 34, 16, 5, 0]","[45, 49, 17, 18]",,,,,,2659.422123
new data TSPD.txt,5,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,5,2226.02082,0,"[0, 45, 3, 20, 22, 43, 27, 33, 9, 23, 25, 39, 21, 32, 44, 1, 31, 6, 14, 8, 28, 7, 48, 12, 30, 26, 10, 47, 4, 49, 15, 46, 42, 2, 37, 35, 19, 36, 24, 17, 41, 11, 40, 29, 38, 13, 18, 34, 16, 5, 0]","[0, 45, 3, 20, 22, 43, 27, 33, 23, 25, 39, 21, 32, 44, 31, 6, 14, 28, 7, 12, 30, 26, 47, 4, 49, 15, 46, 42, 2, 37, 35, 19, 36, 24, 41, 11, 40, 29, 38, 13, 18, 34, 16, 5, 0]","[9, 1, 8, 48, 10, 17]",,,,,,2544.007545
new data TSPD.txt,6,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,6,1854.347674,0,"[0, 45, 3, 20, 22, 43, 27, 33, 9, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 28, 7, 12, 30, 26, 10, 47, 4, 15, 25, 2, 46, 42, 37, 35, 48, 19, 36, 24, 17, 41, 11, 40, 29, 38, 13, 18, 34, 16, 5, 0]","[0, 3, 20, 22, 43, 27, 33, 9, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 28, 7, 12, 30, 26, 47, 4, 15, 25, 2, 46, 42, 37, 35, 48, 19, 36, 24, 17, 41, 11, 29, 38, 13, 18, 34, 16, 5, 0]","[45, 10, 40]",,,,,,2377.450557
new data TSPD.txt,7,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,7,1758.319748,0,"[0, 45, 3, 20, 22, 43, 27, 33, 9, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 28, 4, 7, 12, 30, 34, 26, 10, 47, 15, 25, 2, 46, 37, 35, 42, 48, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[0, 3, 20, 22, 27, 33, 9, 23, 39, 21, 32, 44, 1, 31, 6, 14, 28, 7, 12, 30, 26, 47, 15, 25, 2, 46, 37, 35, 42, 48, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[45, 43, 49, 8, 4, 34, 10]",,,,,,2238.278449
new data TSPD.txt,8,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,8,1638.078086,0,"[0, 45, 3, 22, 43, 27, 33, 9, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 28, 4, 7, 12, 30, 34, 26, 10, 47, 15, 25, 2, 46, 20, 37, 35, 42, 48, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[0, 45, 3, 22, 43, 27, 33, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 4, 7, 12, 30, 34, 26, 10, 47, 15, 25, 2, 46, 20, 37, 35, 42, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[9, 28, 48]",,,,,,2140.395053
new data TSPD.txt,9,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,9,1638.078086,0,"[0, 45, 3, 22, 43, 27, 33, 9, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 28, 4, 7, 12, 30, 34, 26, 10, 47, 15, 25, 2, 46, 20, 37, 35, 42, 48, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[0, 45, 3, 22, 43, 27, 33, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 4, 7, 12, 30, 34, 26, 10, 47, 15, 25, 2, 46, 20, 37, 35, 42, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[9, 28, 48]",,,,,,2078.963386
new data TSPD.txt,10,Random Removal & Reinsertion,674.3,14.4,0.01,0.99,50,43.2,4,10,1638.078086,0,"[0, 45, 3, 22, 43, 27, 33, 9, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 28, 4, 7, 12, 30, 34, 26, 10, 47, 15, 25, 2, 46, 20, 37, 35, 42, 48, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[0, 45, 3, 22, 43, 27, 33, 23, 39, 21, 32, 44, 1, 49, 31, 6, 14, 8, 4, 7, 12, 30, 34, 26, 10, 47, 15, 25, 2, 46, 20, 37, 35, 42, 19, 41, 36, 24, 17, 11, 40, 29, 38, 13, 18, 16, 5, 0]","[9, 28, 48]",,,,,,2006.885477
