Iteration,Algorithm,Fitness,Truck Distance,Drone Distance,Execution Time,Solution,Truck Route,Drone Route,,,,,AVG
10,ALNS,35334.65965,5240.198636,0,0.00704217,"[0, 22, 81, 4, 20, 97, 65, 14, 91, 83, 36, 13, 87, 98, 59, 93, 5, 10, 45, 47, 33, 66, 35, 50, 52, 31, 57, 46, 100, 3, 2, 43, 60, 53, 89, 42, 34, 95, 78, 39, 76, 56, 49, 23, 11, 9, 48, 21, 12, 16, 62, 17, 24, 61, 79, 44, 55, 19, 96, 88, 40, 64, 72, 28, 6, 63, 54, 8, 25, 69, 73, 58, 80, 71, 84, 92, 30, 7, 99, 38, 68, 90, 15, 86, 37, 75, 29, 70, 26, 67, 74, 18, 32, 85, 94, 51, 77, 41, 27, 82, 1, 0]","[0, 22, 81, 4, 20, 97, 65, 14, 91, 83, 36, 13, 87, 98, 59, 93, 5, 10, 45, 47, 33, 66, 35, 50, 52, 31, 57, 46, 100, 3, 2, 43, 60, 53, 89, 42, 34, 95, 78, 39, 76, 56, 49, 23, 11, 9, 48, 21, 12, 16, 62, 17, 24, 61, 79, 44, 55, 19, 96, 88, 40, 64, 72, 28, 6, 63, 54, 8, 25, 69, 73, 58, 80, 71, 84, 92, 30, 7, 99, 38, 68, 90, 15, 86, 37, 75, 29, 70, 26, 67, 74, 18, 32, 85, 94, 51, 77, 41, 27, 82, 1, 0]",[],,,,,34758.50523
11,ALNS,32349.15978,4797.443206,0,0.002025604,"[0, 22, 81, 4, 20, 97, 65, 91, 15, 83, 36, 23, 87, 98, 59, 93, 5, 10, 45, 47, 33, 66, 75, 35, 50, 52, 31, 57, 46, 100, 3, 2, 43, 29, 60, 53, 89, 42, 48, 34, 95, 78, 39, 76, 13, 56, 49, 11, 9, 21, 12, 16, 62, 17, 24, 61, 79, 44, 55, 19, 96, 88, 40, 64, 72, 28, 6, 63, 54, 8, 25, 69, 73, 58, 14, 80, 71, 84, 92, 30, 7, 99, 38, 68, 90, 86, 37, 70, 26, 67, 74, 18, 32, 85, 94, 51, 77, 41, 27, 82, 1, 0]","[0, 22, 81, 4, 20, 97, 65, 91, 15, 83, 36, 23, 87, 98, 59, 93, 5, 10, 45, 47, 33, 66, 75, 35, 50, 52, 31, 57, 46, 100, 3, 2, 43, 29, 60, 53, 89, 42, 48, 34, 95, 78, 39, 76, 13, 56, 49, 11, 9, 21, 12, 16, 62, 17, 24, 61, 79, 44, 55, 19, 96, 88, 40, 64, 72, 28, 6, 63, 54, 8, 25, 69, 73, 58, 14, 80, 71, 84, 92, 30, 7, 99, 38, 68, 90, 86, 37, 70, 26, 67, 74, 18, 32, 85, 94, 51, 77, 41, 27, 82, 1, 0]",[],,,,,32609.6437
12,ALNS,32083.22676,4758.004824,0,0.001829624,"[0, 22, 81, 4, 20, 97, 65, 91, 15, 83, 36, 28, 24, 23, 98, 59, 93, 5, 10, 45, 47, 66, 33, 35, 62, 50, 52, 31, 87, 57, 75, 46, 100, 3, 2, 43, 29, 60, 53, 89, 42, 48, 34, 95, 78, 39, 76, 13, 56, 49, 11, 9, 21, 12, 16, 17, 67, 61, 79, 44, 55, 19, 96, 88, 40, 64, 72, 6, 63, 54, 8, 25, 69, 73, 58, 14, 80, 71, 84, 92, 30, 7, 99, 38, 90, 86, 37, 70, 26, 74, 18, 32, 85, 68, 94, 51, 77, 41, 27, 82, 1, 0]","[0, 22, 81, 4, 20, 97, 65, 91, 15, 83, 36, 28, 24, 23, 98, 59, 93, 5, 10, 45, 47, 66, 33, 35, 62, 50, 52, 31, 87, 57, 75, 46, 100, 3, 2, 43, 29, 60, 53, 89, 42, 48, 34, 95, 78, 39, 76, 13, 56, 49, 11, 9, 21, 12, 16, 17, 67, 61, 79, 44, 55, 19, 96, 88, 40, 64, 72, 6, 63, 54, 8, 25, 69, 73, 58, 14, 80, 71, 84, 92, 30, 7, 99, 38, 90, 86, 37, 70, 26, 74, 18, 32, 85, 68, 94, 51, 77, 41, 27, 82, 1, 0]",[],,,,,30988.88169
13,ALNS,30551.88408,4530.903731,0,0.003879786,"[0, 22, 81, 4, 20, 97, 65, 73, 58, 91, 36, 28, 24, 23, 98, 59, 93, 5, 10, 45, 47, 66, 33, 35, 62, 50, 52, 31, 87, 57, 75, 46, 100, 63, 3, 54, 2, 43, 29, 60, 53, 42, 89, 48, 34, 95, 78, 39, 76, 13, 56, 49, 11, 9, 21, 12, 16, 17, 67, 61, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 6, 8, 69, 25, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 90, 86, 37, 70, 26, 74, 18, 32, 85, 68, 94, 51, 77, 41, 27, 82, 1, 0]","[0, 22, 81, 4, 20, 97, 65, 73, 58, 91, 36, 28, 24, 23, 98, 59, 93, 5, 10, 45, 47, 66, 33, 35, 62, 50, 52, 31, 87, 57, 75, 46, 100, 63, 3, 54, 2, 43, 29, 60, 53, 42, 89, 48, 34, 95, 78, 39, 76, 13, 56, 49, 11, 9, 21, 12, 16, 17, 67, 61, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 6, 8, 69, 25, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 90, 86, 37, 70, 26, 74, 18, 32, 85, 68, 94, 51, 77, 41, 27, 82, 1, 0]",[],,,,,29491.03264
14,ALNS,29494.47133,4374.087371,0,0.005665302,"[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 36, 28, 24, 23, 98, 59, 93, 5, 10, 45, 47, 33, 35, 62, 50, 52, 31, 87, 57, 75, 46, 100, 63, 3, 54, 2, 43, 29, 60, 53, 42, 48, 34, 95, 78, 39, 76, 13, 66, 49, 11, 9, 21, 12, 56, 16, 17, 67, 61, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 6, 8, 69, 25, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 86, 37, 70, 26, 85, 74, 32, 68, 94, 51, 77, 41, 27, 82, 1, 89, 0]","[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 36, 28, 24, 23, 98, 59, 93, 5, 10, 45, 47, 33, 35, 62, 50, 52, 31, 87, 57, 75, 46, 100, 63, 3, 54, 2, 43, 29, 60, 53, 42, 48, 34, 95, 78, 39, 76, 13, 66, 49, 11, 9, 21, 12, 56, 16, 17, 67, 61, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 6, 8, 69, 25, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 86, 37, 70, 26, 85, 74, 32, 68, 94, 51, 77, 41, 27, 82, 1, 89, 0]",[],,,,,28437.03466
15,ALNS,26782.32694,3971.871094,0,0.002155066,"[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 36, 28, 61, 24, 23, 98, 59, 93, 5, 10, 45, 47, 33, 62, 52, 31, 87, 57, 75, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 66, 49, 11, 9, 12, 56, 50, 16, 17, 67, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 25, 69, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 86, 37, 70, 85, 74, 32, 68, 94, 51, 77, 41, 13, 27, 82, 1, 53, 42, 89, 0]","[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 36, 28, 61, 24, 23, 98, 59, 93, 5, 10, 45, 47, 33, 62, 52, 31, 87, 57, 75, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 66, 49, 11, 9, 12, 56, 50, 16, 17, 67, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 25, 69, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 86, 37, 70, 85, 74, 32, 68, 94, 51, 77, 41, 13, 27, 82, 1, 53, 42, 89, 0]",[],,,,,26998.9339
16,ALNS,24445.99062,3625.387881,0,0.00515008,"[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 28, 61, 24, 70, 23, 93, 5, 10, 45, 47, 52, 31, 87, 57, 75, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 33, 66, 49, 11, 9, 12, 56, 50, 16, 62, 17, 67, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 25, 69, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 86, 37, 85, 74, 32, 68, 94, 77, 41, 13, 27, 59, 98, 82, 1, 53, 42, 89, 0]","[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 28, 61, 24, 70, 23, 93, 5, 10, 45, 47, 52, 31, 87, 57, 75, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 33, 66, 49, 11, 9, 12, 56, 50, 16, 62, 17, 67, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 25, 69, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 86, 37, 85, 74, 32, 68, 94, 77, 41, 13, 27, 59, 98, 82, 1, 53, 42, 89, 0]",[],,,,,26000.62166
17,ALNS,23961.89196,3553.595109,0,0.002081394,"[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 28, 61, 24, 23, 93, 5, 10, 45, 52, 31, 87, 57, 75, 70, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 37, 33, 66, 49, 47, 11, 9, 12, 56, 50, 16, 62, 27, 67, 90, 15, 79, 44, 19, 96, 55, 88, 40, 72, 83, 25, 69, 68, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 86, 85, 74, 32, 77, 94, 41, 13, 17, 59, 98, 82, 1, 53, 42, 89, 0]","[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 28, 61, 24, 23, 93, 5, 10, 45, 52, 31, 87, 57, 75, 70, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 37, 33, 66, 49, 47, 11, 9, 12, 56, 50, 16, 62, 27, 67, 90, 15, 79, 44, 19, 96, 55, 88, 40, 72, 83, 25, 69, 68, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 86, 85, 74, 32, 77, 94, 41, 13, 17, 59, 98, 82, 1, 53, 42, 89, 0]",[],,,,,24772.98014
18,ALNS,23813.47269,3531.584243,0,0.002025127,"[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 28, 61, 24, 23, 93, 5, 10, 45, 31, 87, 57, 75, 70, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 37, 33, 66, 49, 47, 11, 52, 9, 12, 56, 50, 16, 62, 27, 67, 85, 74, 90, 15, 79, 44, 19, 96, 55, 88, 40, 72, 83, 25, 69, 68, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 86, 32, 77, 94, 41, 13, 17, 59, 98, 82, 1, 53, 42, 89, 0]","[0, 22, 81, 4, 20, 97, 65, 18, 73, 58, 91, 28, 61, 24, 23, 93, 5, 10, 45, 31, 87, 57, 75, 70, 26, 35, 46, 100, 8, 63, 3, 54, 2, 43, 29, 60, 48, 21, 34, 95, 78, 39, 6, 76, 37, 33, 66, 49, 47, 11, 52, 9, 12, 56, 50, 16, 62, 27, 67, 85, 74, 90, 15, 79, 44, 19, 96, 55, 88, 40, 72, 83, 25, 69, 68, 14, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 86, 32, 77, 94, 41, 13, 17, 59, 98, 82, 1, 53, 42, 89, 0]",[],,,,,24057.82446
19,ALNS,22635.09176,3356.828064,0,0.00173974,"[0, 22, 81, 4, 20, 97, 65, 73, 58, 18, 23, 93, 5, 10, 45, 31, 87, 57, 75, 70, 26, 67, 35, 46, 100, 8, 63, 3, 54, 21, 43, 29, 60, 48, 2, 34, 95, 78, 39, 6, 13, 37, 33, 66, 49, 47, 11, 52, 9, 12, 56, 50, 16, 62, 17, 27, 85, 74, 90, 15, 79, 44, 19, 96, 55, 88, 40, 72, 83, 25, 69, 68, 14, 91, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 28, 86, 32, 77, 94, 41, 76, 61, 24, 59, 98, 1, 82, 53, 42, 89, 0]","[0, 22, 81, 4, 20, 97, 65, 73, 58, 18, 23, 93, 5, 10, 45, 31, 87, 57, 75, 70, 26, 67, 35, 46, 100, 8, 63, 3, 54, 21, 43, 29, 60, 48, 2, 34, 95, 78, 39, 6, 13, 37, 33, 66, 49, 47, 11, 52, 9, 12, 56, 50, 16, 62, 17, 27, 85, 74, 90, 15, 79, 44, 19, 96, 55, 88, 40, 72, 83, 25, 69, 68, 14, 91, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 28, 86, 32, 77, 94, 41, 76, 61, 24, 59, 98, 1, 82, 53, 42, 89, 0]",[],,,,,23296.73998
20,ALNS,21973.43879,3258.703642,0,0.002422571,"[0, 22, 81, 4, 20, 97, 65, 73, 58, 18, 23, 5, 10, 45, 87, 70, 26, 67, 35, 46, 100, 8, 63, 3, 54, 21, 43, 29, 60, 48, 2, 34, 95, 78, 39, 6, 13, 37, 33, 66, 49, 47, 57, 11, 52, 9, 12, 56, 50, 16, 62, 17, 27, 85, 74, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 25, 69, 68, 14, 91, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 28, 86, 32, 77, 94, 41, 76, 61, 24, 75, 93, 59, 98, 1, 82, 31, 53, 42, 89, 0]","[0, 22, 81, 4, 20, 97, 65, 73, 58, 18, 23, 5, 10, 45, 87, 70, 26, 67, 35, 46, 100, 8, 63, 3, 54, 21, 43, 29, 60, 48, 2, 34, 95, 78, 39, 6, 13, 37, 33, 66, 49, 47, 57, 11, 52, 9, 12, 56, 50, 16, 62, 17, 27, 85, 74, 90, 15, 79, 44, 55, 19, 96, 88, 40, 72, 83, 25, 69, 68, 14, 91, 80, 71, 64, 84, 92, 30, 7, 99, 38, 51, 36, 28, 86, 32, 77, 94, 41, 76, 61, 24, 75, 93, 59, 98, 1, 82, 31, 53, 42, 89, 0]",[],,,,,22570.04717
