Iteration,Algorithm,Fitness,Truck Distance,Drone Distance,Execution Time,Solution,Truck Route,Drone Route,,,,,AVG
0,Initial Random,114055.8947,16914.71057,0,0,"[0, 72, 27, 98, 78, 33, 63, 66, 1, 77, 65, 59, 8, 49, 34, 35, 30, 42, 10, 44, 95, 26, 31, 13, 75, 25, 17, 18, 21, 89, 90, 88, 58, 2, 23, 14, 96, 48, 61, 32, 76, 64, 9, 87, 50, 93, 52, 54, 24, 68, 47, 28, 53, 22, 56, 41, 85, 62, 86, 6, 19, 5, 3, 16, 45, 94, 82, 71, 12, 73, 74, 83, 60, 100, 80, 69, 20, 92, 37, 91, 79, 29, 81, 67, 40, 55, 43, 99, 46, 97, 84, 36, 70, 4, 57, 39, 15, 11, 7, 51, 38, 0]","[0, 72, 27, 98, 78, 33, 63, 66, 1, 77, 65, 59, 8, 49, 34, 35, 30, 42, 10, 44, 95, 26, 31, 13, 75, 25, 17, 18, 21, 89, 90, 88, 58, 2, 23, 14, 96, 48, 61, 32, 76, 64, 9, 87, 50, 93, 52, 54, 24, 68, 47, 28, 53, 22, 56, 41, 85, 62, 86, 6, 19, 5, 3, 16, 45, 94, 82, 71, 12, 73, 74, 83, 60, 100, 80, 69, 20, 92, 37, 91, 79, 29, 81, 67, 40, 55, 43, 99, 46, 97, 84, 36, 70, 4, 57, 39, 15, 11, 7, 51, 38, 0]",[],,,,,110462.7762
1,ALNS,96856.20237,14363.96289,0,0.00711894,"[0, 83, 72, 78, 33, 63, 66, 1, 98, 77, 65, 49, 59, 8, 34, 35, 30, 100, 42, 74, 44, 95, 26, 31, 13, 25, 17, 18, 21, 43, 89, 10, 58, 23, 14, 96, 85, 48, 2, 61, 32, 76, 64, 9, 87, 50, 93, 52, 24, 68, 47, 28, 53, 62, 86, 6, 19, 5, 3, 54, 16, 45, 75, 94, 27, 82, 71, 56, 12, 73, 60, 80, 69, 20, 99, 92, 38, 37, 91, 79, 90, 29, 22, 81, 4, 67, 40, 88, 55, 46, 97, 84, 36, 70, 57, 39, 15, 11, 7, 51, 41, 0]","[0, 83, 72, 78, 33, 63, 66, 1, 98, 77, 65, 49, 59, 8, 34, 35, 30, 100, 42, 74, 44, 95, 26, 31, 13, 25, 17, 18, 21, 43, 89, 10, 58, 23, 14, 96, 85, 48, 2, 61, 32, 76, 64, 9, 87, 50, 93, 52, 24, 68, 47, 28, 53, 62, 86, 6, 19, 5, 3, 54, 16, 45, 75, 94, 27, 82, 71, 56, 12, 73, 60, 80, 69, 20, 99, 92, 38, 37, 91, 79, 90, 29, 22, 81, 4, 67, 40, 88, 55, 46, 97, 84, 36, 70, 57, 39, 15, 11, 7, 51, 41, 0]",[],,,,,88328.64292
2,ALNS,79388.41418,11773.45601,0,0.003497601,"[0, 81, 83, 72, 78, 33, 66, 1, 45, 65, 49, 59, 8, 63, 34, 35, 100, 42, 57, 74, 95, 26, 31, 13, 25, 17, 18, 21, 43, 89, 10, 58, 14, 96, 85, 48, 2, 61, 76, 64, 56, 12, 9, 87, 50, 93, 24, 47, 28, 23, 11, 52, 53, 62, 86, 6, 19, 5, 3, 54, 16, 75, 94, 27, 82, 71, 73, 60, 80, 69, 20, 99, 92, 30, 7, 38, 68, 37, 91, 79, 15, 90, 29, 22, 4, 67, 40, 88, 55, 44, 46, 97, 32, 84, 36, 70, 39, 51, 77, 41, 98, 0]","[0, 81, 83, 72, 78, 33, 66, 1, 45, 65, 49, 59, 8, 63, 34, 35, 100, 42, 57, 74, 95, 26, 31, 13, 25, 17, 18, 21, 43, 89, 10, 58, 14, 96, 85, 48, 2, 61, 76, 64, 56, 12, 9, 87, 50, 93, 24, 47, 28, 23, 11, 52, 53, 62, 86, 6, 19, 5, 3, 54, 16, 75, 94, 27, 82, 71, 73, 60, 80, 69, 20, 99, 92, 30, 7, 38, 68, 37, 91, 79, 15, 90, 29, 22, 4, 67, 40, 88, 55, 44, 46, 97, 32, 84, 36, 70, 39, 51, 77, 41, 98, 0]",[],,,,,74521.92709
3,ALNS,68225.09485,10117.91406,0,0.002918959,"[0, 81, 85, 83, 72, 78, 33, 1, 45, 65, 66, 49, 59, 63, 34, 35, 100, 39, 50, 42, 31, 57, 74, 95, 26, 13, 25, 17, 21, 43, 89, 10, 58, 18, 48, 2, 61, 76, 64, 56, 12, 9, 93, 5, 24, 47, 86, 28, 23, 11, 52, 53, 62, 6, 79, 96, 19, 8, 3, 54, 16, 75, 94, 27, 71, 73, 60, 14, 80, 69, 20, 99, 92, 30, 7, 38, 68, 37, 91, 15, 90, 29, 22, 4, 67, 40, 88, 55, 44, 46, 97, 32, 84, 36, 70, 51, 77, 41, 87, 98, 82, 0]","[0, 81, 85, 83, 72, 78, 33, 1, 45, 65, 66, 49, 59, 63, 34, 35, 100, 39, 50, 42, 31, 57, 74, 95, 26, 13, 25, 17, 21, 43, 89, 10, 58, 18, 48, 2, 61, 76, 64, 56, 12, 9, 93, 5, 24, 47, 86, 28, 23, 11, 52, 53, 62, 6, 79, 96, 19, 8, 3, 54, 16, 75, 94, 27, 71, 73, 60, 14, 80, 69, 20, 99, 92, 30, 7, 38, 68, 37, 91, 15, 90, 29, 22, 4, 67, 40, 88, 55, 44, 46, 97, 32, 84, 36, 70, 51, 77, 41, 87, 98, 82, 0]",[],,,,,64551.48937
4,ALNS,58504.89638,8676.389745,0,0.003130674,"[0, 81, 20, 85, 83, 72, 78, 1, 59, 93, 45, 65, 33, 66, 63, 3, 34, 35, 100, 39, 50, 42, 31, 57, 74, 26, 13, 25, 17, 21, 43, 60, 89, 10, 58, 18, 48, 2, 95, 61, 76, 64, 56, 12, 9, 5, 24, 47, 49, 86, 28, 23, 11, 52, 53, 62, 6, 79, 96, 19, 8, 54, 16, 75, 41, 94, 69, 27, 71, 73, 14, 80, 40, 92, 30, 7, 99, 38, 68, 91, 15, 90, 37, 29, 22, 4, 67, 88, 55, 44, 46, 97, 32, 84, 36, 70, 51, 77, 87, 98, 82, 0]","[0, 81, 20, 85, 83, 72, 78, 1, 59, 93, 45, 65, 33, 66, 63, 3, 34, 35, 100, 39, 50, 42, 31, 57, 74, 26, 13, 25, 17, 21, 43, 60, 89, 10, 58, 18, 48, 2, 95, 61, 76, 64, 56, 12, 9, 5, 24, 47, 49, 86, 28, 23, 11, 52, 53, 62, 6, 79, 96, 19, 8, 54, 16, 75, 41, 94, 69, 27, 71, 73, 14, 80, 40, 92, 30, 7, 99, 38, 68, 91, 15, 90, 37, 29, 22, 4, 67, 88, 55, 44, 46, 97, 32, 84, 36, 70, 51, 77, 87, 98, 82, 0]",[],,,,,56759.72516
5,ALNS,51936.84325,7702.33472,0,0.00221324,"[0, 81, 20, 85, 83, 72, 78, 1, 59, 93, 45, 65, 33, 66, 34, 35, 100, 39, 50, 31, 57, 74, 26, 25, 46, 17, 12, 21, 43, 60, 89, 42, 10, 58, 18, 9, 48, 2, 95, 61, 76, 64, 13, 56, 5, 24, 47, 49, 23, 11, 52, 53, 62, 6, 79, 96, 19, 8, 63, 3, 54, 16, 75, 41, 94, 69, 71, 73, 14, 40, 84, 92, 30, 7, 99, 38, 68, 91, 15, 90, 86, 37, 29, 22, 4, 67, 28, 88, 55, 44, 80, 97, 32, 36, 70, 51, 77, 27, 87, 98, 82, 0]","[0, 81, 20, 85, 83, 72, 78, 1, 59, 93, 45, 65, 33, 66, 34, 35, 100, 39, 50, 31, 57, 74, 26, 25, 46, 17, 12, 21, 43, 60, 89, 42, 10, 58, 18, 9, 48, 2, 95, 61, 76, 64, 13, 56, 5, 24, 47, 49, 23, 11, 52, 53, 62, 6, 79, 96, 19, 8, 63, 3, 54, 16, 75, 41, 94, 69, 71, 73, 14, 40, 84, 92, 30, 7, 99, 38, 68, 91, 15, 90, 86, 37, 29, 22, 4, 67, 28, 88, 55, 44, 80, 97, 32, 36, 70, 51, 77, 27, 87, 98, 82, 0]",[],,,,,50706.38691
6,ALNS,47713.07978,7075.942392,0,0.002043724,"[0, 81, 20, 85, 83, 36, 78, 98, 1, 59, 93, 45, 65, 33, 66, 35, 50, 31, 57, 74, 46, 100, 17, 12, 21, 43, 60, 89, 42, 10, 58, 18, 9, 2, 34, 95, 39, 76, 64, 13, 56, 5, 47, 49, 23, 11, 52, 53, 48, 62, 24, 79, 96, 19, 6, 8, 63, 3, 54, 16, 41, 94, 69, 25, 71, 73, 14, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 28, 88, 55, 44, 80, 97, 32, 70, 51, 77, 27, 87, 82, 0]","[0, 81, 20, 85, 83, 36, 78, 98, 1, 59, 93, 45, 65, 33, 66, 35, 50, 31, 57, 74, 46, 100, 17, 12, 21, 43, 60, 89, 42, 10, 58, 18, 9, 2, 34, 95, 39, 76, 64, 13, 56, 5, 47, 49, 23, 11, 52, 53, 48, 62, 24, 79, 96, 19, 6, 8, 63, 3, 54, 16, 41, 94, 69, 25, 71, 73, 14, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 28, 88, 55, 44, 80, 97, 32, 70, 51, 77, 27, 87, 82, 0]",[],,,,,46731.61512
7,ALNS,44230.9431,6559.534745,0,0.001645803,"[0, 81, 20, 85, 83, 36, 13, 78, 98, 1, 59, 93, 45, 47, 65, 33, 66, 35, 50, 31, 57, 74, 46, 100, 8, 2, 21, 43, 60, 89, 42, 10, 58, 12, 34, 95, 39, 76, 64, 56, 5, 49, 23, 11, 52, 53, 48, 9, 62, 17, 24, 79, 44, 55, 96, 19, 88, 71, 6, 63, 3, 54, 16, 41, 94, 25, 69, 73, 14, 80, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 28, 97, 18, 32, 70, 51, 77, 27, 87, 82, 0]","[0, 81, 20, 85, 83, 36, 13, 78, 98, 1, 59, 93, 45, 47, 65, 33, 66, 35, 50, 31, 57, 74, 46, 100, 8, 2, 21, 43, 60, 89, 42, 10, 58, 12, 34, 95, 39, 76, 64, 56, 5, 49, 23, 11, 52, 53, 48, 9, 62, 17, 24, 79, 44, 55, 96, 19, 88, 71, 6, 63, 3, 54, 16, 41, 94, 25, 69, 73, 14, 80, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 28, 97, 18, 32, 70, 51, 77, 27, 87, 82, 0]",[],,,,,42860.66202
8,ALNS,40859.63997,6059.563944,0,0.002510786,"[0, 81, 20, 97, 83, 36, 13, 98, 1, 59, 93, 45, 47, 65, 33, 66, 35, 50, 31, 57, 74, 46, 100, 3, 2, 21, 43, 60, 53, 89, 42, 34, 95, 78, 39, 64, 76, 56, 5, 10, 49, 23, 11, 52, 9, 48, 12, 16, 62, 17, 24, 79, 44, 55, 96, 19, 88, 71, 6, 63, 54, 8, 41, 94, 25, 69, 73, 58, 14, 80, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 28, 18, 32, 85, 70, 51, 77, 27, 87, 82, 0]","[0, 81, 20, 97, 83, 36, 13, 98, 1, 59, 93, 45, 47, 65, 33, 66, 35, 50, 31, 57, 74, 46, 100, 3, 2, 21, 43, 60, 53, 89, 42, 34, 95, 78, 39, 64, 76, 56, 5, 10, 49, 23, 11, 52, 9, 48, 12, 16, 62, 17, 24, 79, 44, 55, 96, 19, 88, 71, 6, 63, 54, 8, 41, 94, 25, 69, 73, 58, 14, 80, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 28, 18, 32, 85, 70, 51, 77, 27, 87, 82, 0]",[],,,,,39498.33393
9,ALNS,38458.70322,5703.500361,0,0.000648975,"[0, 81, 20, 97, 65, 14, 83, 36, 13, 98, 1, 59, 93, 5, 10, 45, 47, 33, 66, 35, 50, 52, 31, 57, 46, 100, 3, 2, 21, 43, 60, 53, 89, 42, 34, 95, 78, 39, 64, 76, 56, 49, 23, 11, 9, 48, 12, 16, 62, 17, 24, 79, 44, 55, 19, 96, 88, 71, 28, 6, 63, 54, 8, 41, 25, 69, 73, 58, 80, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 74, 18, 32, 85, 70, 94, 51, 77, 27, 87, 82, 0]","[0, 81, 20, 97, 65, 14, 83, 36, 13, 98, 1, 59, 93, 5, 10, 45, 47, 33, 66, 35, 50, 52, 31, 57, 46, 100, 3, 2, 21, 43, 60, 53, 89, 42, 34, 95, 78, 39, 64, 76, 56, 49, 23, 11, 9, 48, 12, 16, 62, 17, 24, 79, 44, 55, 19, 96, 88, 71, 28, 6, 63, 54, 8, 41, 25, 69, 73, 58, 80, 72, 40, 84, 92, 30, 7, 99, 38, 68, 90, 91, 15, 86, 37, 75, 29, 22, 4, 26, 67, 61, 74, 18, 32, 85, 70, 94, 51, 77, 27, 87, 82, 0]",[],,,,,37168.80718
